"Airport/Carrier","Max/Min Devs"
"AA-FAT",-40
"AA-FLL",269
"AA-FLL",-64
"AA-GSO",177
"AA-GSO",-40
"AA-GUC",114
"AA-GUC",-26
"AA-HDN",114
"AA-HDN",-38
"AA-HNL",162
"AA-HNL",-67
"AA-HOU",206
"AA-HOU",-45
"AA-HPN",229
"AA-HPN",-53
"AA-HSV",328
"AA-HSV",-34
"AA-IAD",231
"AA-IAD",-54
"AA-IAH",270
"AA-IAH",-43
"AA-ICT",234
"AA-ICT",-24
"AA-IND",273
"AA-IND",-47
"AA-ISP",94
"AA-ISP",-18
"AA-JAC",203
"AA-JAC",-43
"AA-JAX",210
"AA-JAX",-53
"AA-JFK",385
"AA-JFK",-76
"AA-KOA",75
"AA-KOA",-47
"AA-LAS",226
"AA-LAS",-67
"AA-LAX",355
"AA-LAX",-79
"AA-LGA",408
"AA-LGA",-700
"AA-LGB",287
"AA-LGB",-50
"AA-LIH",80
"AA-LIH",-52
"AA-LIT",135
"AA-LIT",-26
"AA-MCI",395
"AA-MCI",-37
"AA-MCO",287
"AA-MCO",-48
"AA-MDT",162
"AA-MDT",-28
"AA-MDW",281
"AA-MDW",-41
"AA-MEM",255
"AA-MEM",-38
"AA-MFE",225
"AA-MFE",-22
"AA-MIA",332
"AA-MIA",-75
"AA-MKE",176
"AA-MKE",-15
"AA-MLI",112
"AA-MLI",-18
"AA-MSP",251
"AA-MSP",-44
"AA-MSY",258
"AA-MSY",-38
"AA-MTJ",84
"AA-MTJ",-37
"AA-OAK",162
"AA-OAK",-63
"AA-OGG",307
"AA-OGG",-66
"AA-OKC",217
"AA-OKC",-38
"AA-OMA",220
"AA-OMA",-35
"AA-ONT",383
"AA-ONT",-38
"AA-ORD",378
"AA-ORD",-86
"AA-ORF",168
"AA-ORF",-662
"AA-PBI",240
"AA-PBI",-44
"AA-PDX",207
"AA-PDX",-45
"AA-PHL",286
"AA-PHL",-377
"AA-PHX",220
"AA-PHX",-51
"AA-PIA",-Inf
"AA-PIA",Inf
"AA-PIT",139
"AA-PIT",-46
"AA-PSP",152
"AA-PSP",-51
"AA-PVD",223
"AA-PVD",-53
"AA-RDU",232
"AA-RDU",-48
"AA-RIC",222
"AA-RIC",-49
"AA-RNO",283
"AA-RNO",-58
"AA-ROC",131
"AA-ROC",-34
"AA-RST",201
"AA-RST",-23
"AA-RSW",351
"AA-RSW",-39
"AA-SAN",279
"AA-SAN",-65
"AA-SAT",443
"AA-SAT",-43
"AA-SDF",216
"AA-SDF",-38
"AA-SEA",272
"AA-SEA",-60
"AA-SFO",337
"AA-SFO",-130
"AA-SGF",131
"AA-SGF",-21
"AA-SHV",17
"AA-SHV",17
"AA-SJC",251
"AA-SJC",-66
"AA-SJU",208
"AA-SJU",-76
"AA-SLC",183
"AA-SLC",-41
"AA-SMF",305
"AA-SMF",-46
"AA-SNA",240
"AA-SNA",-61
"AA-STL",296
"AA-STL",-75
"AA-STT",147
"AA-STT",-40
"AA-STX",120
"AA-STX",-31
"AA-SWF",115
